Age,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Attrition
0.5476190476190477,0.7158196134574086,0.5,0.0,1.0,0.3333333333333333,0.6666666666666667,0.25,1.0,1.0,0.5965175411015959,0.8888888888888888,0.0,0.0,0.0,0.2,0.0,0.15000000000000002,0.2222222222222222,0.29411764705882354,1
0.7380952380952379,0.12670007158196134,1.0,0.25,1.0,0.6666666666666667,0.3333333333333333,0.25,0.75,0.3333333333333333,0.5444583154175726,0.1111111111111111,1.0,1.0,0.3333333333333333,0.25,0.6666666666666667,0.25,0.38888888888888884,0.4117647058823529,0
0.4523809523809524,0.9098067287043664,1.0,0.03571428571428571,0.2,1.0,0.3333333333333333,0.0,0.875,0.6666666666666667,0.24381385182703852,0.6666666666666666,0.0,0.3333333333333333,0.0,0.17500000000000002,0.6666666666666667,0.0,0.0,0.0,1
0.35714285714285715,0.9234073013600572,1.0,0.07142857142857142,1.0,1.0,0.6666666666666667,0.0,0.75,0.6666666666666667,0.35451891736692787,0.1111111111111111,0.0,0.6666666666666667,0.0,0.2,0.6666666666666667,0.2,0.38888888888888884,0.0,0
0.21428571428571425,0.35003579098067283,1.0,0.03571428571428571,0.8,0.0,0.6666666666666667,0.0,0.875,0.3333333333333333,0.4133689369401736,1.0,1.0,1.0,0.3333333333333333,0.15000000000000002,0.6666666666666667,0.05,0.1111111111111111,0.11764705882352941,0
0.3333333333333333,0.64638511095204,1.0,0.03571428571428571,1.0,1.0,0.6666666666666667,0.0,0.875,1.0,0.37233660998510754,0.0,1.0,0.6666666666666667,0.0,0.2,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.3529411764705882,0
0.976190476190476,0.8747315676449534,1.0,0.07142857142857142,0.8,0.6666666666666667,1.0,0.0,0.875,0.0,0.32581490947432323,0.4444444444444444,0.0,0.0,1.0,0.30000000000000004,0.3333333333333333,0.025,0.0,0.0,0
0.28571428571428564,0.8990694345025053,1.0,0.8214285714285714,1.0,1.0,0.6666666666666667,0.0,0.875,0.6666666666666667,0.3286867334648247,0.1111111111111111,1.0,0.3333333333333333,0.3333333333333333,0.025,0.6666666666666667,0.025,0.0,0.0,0
0.4761904761904761,0.0816034359341446,1.0,0.7857142857142857,1.0,1.0,0.3333333333333333,0.5,0.5,0.6666666666666667,0.7516818645708851,0.0,1.0,0.3333333333333333,0.0,0.25,0.6666666666666667,0.225,0.38888888888888884,0.47058823529411764,0
0.42857142857142855,0.8568360773085182,1.0,0.9285714285714285,0.8,0.6666666666666667,0.6666666666666667,0.25,0.375,0.6666666666666667,0.5513699571589394,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.42500000000000004,0.3333333333333333,0.17500000000000002,0.38888888888888884,0.4117647058823529,0
0.4047619047619047,0.5060844667143879,1.0,0.5357142857142857,0.8,0.0,1.0,0.0,0.875,0.3333333333333333,0.29372801124465076,0.0,1.0,0.6666666666666667,0.3333333333333333,0.15000000000000002,0.6666666666666667,0.125,0.2222222222222222,0.1764705882352941,0
